City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Rain,snow
0,Kiryat Gat,IL,2020-07-12 21:37:26,31.61,34.76,77.0,71,0,2.8,0.0,0
0,Almeirim,BR,2020-07-12 21:35:47,-1.52,-52.58,77.54,85,46,1.39,0.0,0
0,Butembo,CD,2020-07-12 21:38:33,0.15,29.28,58.08,100,89,1.25,0.52,0
0,Ulundi,ZA,2020-07-12 21:38:33,-28.34,31.42,47.93,80,0,4.36,0.0,0
0,Marfino,RU,2020-07-12 21:38:33,55.7,37.38,62.01,82,75,6.71,0.0,0
0,Luanda,AO,2020-07-12 21:37:46,-8.84,13.23,69.8,83,14,5.82,0.0,0
0,Cobija,BO,2020-07-12 21:38:33,-11.03,-68.77,81.91,61,2,1.1,0.0,0
0,Bengaluru,IN,2020-07-12 21:37:08,12.98,77.6,73.4,100,40,8.05,0.0,0
0,Bayburt,TR,2020-07-12 21:34:41,40.26,40.23,59.9,82,98,2.01,0.0,0
0,Nuuk,GL,2020-07-12 21:38:34,64.18,-51.72,51.01,66,13,5.01,0.0,0
0,Havøysund,NO,2020-07-12 21:38:34,71.0,24.66,51.8,71,6,10.29,0.0,0
0,Mahenge,TZ,2020-07-12 21:38:34,-8.68,36.72,61.54,78,50,2.82,0.0,0
0,Vila Velha,BR,2020-07-12 21:37:44,-20.33,-40.29,75.2,73,29,12.75,0.0,0
0,Gornyak,RU,2020-07-12 21:38:34,50.99,81.47,60.1,77,21,2.98,0.0,0
0,Kruisfontein,ZA,2020-07-12 21:35:34,-34.0,24.73,58.95,32,0,15.79,0.0,0
0,İskilip,TR,2020-07-12 21:38:35,40.74,34.47,64.63,69,16,6.06,0.0,0
0,Rio Grande,BR,2020-07-12 21:38:35,-32.03,-52.1,53.6,87,40,4.7,0.0,0
0,Jati,PK,2020-07-12 21:38:35,24.35,68.27,83.89,73,31,15.7,0.0,0
0,Nueva Loja,EC,2020-07-12 21:38:35,0.08,-76.88,85.87,57,0,2.57,0.0,0
0,Marsaxlokk,MT,2020-07-12 21:38:35,35.84,14.54,77.0,78,0,3.36,0.0,0
0,Aksarka,RU,2020-07-12 21:38:16,66.56,67.8,56.08,95,100,6.98,0.0,0
0,São João da Barra,BR,2020-07-12 21:36:27,-21.64,-41.05,75.2,73,90,8.05,0.0,0
0,Luebo,CD,2020-07-12 21:38:36,-5.35,21.42,70.45,85,99,1.36,0.0,0
0,Beloha,MG,2020-07-12 21:38:36,-25.17,45.05,66.58,76,56,7.29,0.0,0
0,Bāfq,IR,2020-07-12 21:38:36,31.61,55.41,85.01,19,94,3.76,0.0,0
0,Westport,US,2020-07-12 21:34:30,41.14,-73.36,88.0,45,1,11.41,0.0,0
0,Saldanha,ZA,2020-07-12 21:33:46,-33.01,17.94,57.2,82,49,23.04,0.19,0
0,El Bagre,CO,2020-07-12 21:38:37,7.59,-74.81,86.31,65,77,4.16,0.0,0
0,San Cristobal,VE,2020-07-12 21:35:13,7.77,-72.22,84.2,58,40,4.7,0.0,0
0,Kontagora,NG,2020-07-12 21:38:37,10.4,5.47,72.16,91,100,3.65,0.18,0
0,Raja,SS,2020-07-12 21:38:37,8.46,25.68,70.32,94,97,2.26,0.0,0
0,Apastovo,RU,2020-07-12 21:38:37,55.2,48.51,66.2,59,2,4.47,0.0,0
